Preliminary report: 20 October 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1: BIS reporting banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary of international positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In billions of US dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amounts outstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dec.1977,Mar.1978,Jun.1978,Sep.1978,Dec.1978,Mar.1979,Jun.1979,Sep.1979,Dec.1979,Mar.1980,Jun.1980,Sep.1980,Dec.1980,Mar.1981,Jun.1981,Sep.1981,Dec.1981,Mar.1982,Jun.1982,Sep.1982,Dec.1982,Mar.1983,Jun.1983,Sep.1983,Dec.1983,Mar.1984,Jun.1984,Sep.1984,Dec.1984,Mar.1985,Jun.1985,Sep.1985,Dec.1985,Mar.1986,Jun.1986,Sep.1986,Dec.1986,Mar.1987,Jun.1987,Sep.1987,Dec.1987,Mar.1988,Jun.1988,Sep.1988,Dec.1988,Mar.1989,Jun.1989,Sep.1989,Dec.1989,Mar.1990,Jun.1990,Sep.1990,Dec.1990,Mar.1991,Jun.1991,Sep.1991,Dec.1991,Mar.1992,Jun.1992,Sep.1992,Dec.1992,Mar.1993,Jun.1993,Sep.1993,Dec.1993,Mar.1994,Jun.1994,Sep.1994,Dec.1994,Mar.1995,Jun.1995,Sep.1995,Dec.1995,Mar.1996,Jun.1996,Sep.1996,Dec.1996,Mar.1997,Jun.1997,Sep.1997,Dec.1997,Mar.1998,Jun.1998,Sep.1998,Dec.1998,Mar.1999,Jun.1999,Sep.1999,Dec.1999,Mar.2000,Jun.2000,Sep.2000,Dec.2000,Mar.2001,Jun.2001,Sep.2001,Dec.2001,Mar.2002,Jun.2002,Sep.2002,Dec.2002,Mar.2003,Jun.2003,Sep.2003,Dec.2003,Mar.2004,Jun.2004,Sep.2004,Dec.2004,Mar.2005,Jun.2005,Sep.2005,Dec.2005,Mar.2006,Jun.2006,Sep.2006,Dec.2006,Mar.2007,Jun.2007,Sep.2007,Dec.2007,Mar.2008,Jun.2008,Sep.2008,Dec.2008,Mar.2009,Jun.2009,Sep.2009,Dec.2009,Mar.2010,Jun.2010,Sep.2010,Dec.2010,Mar.2011,Jun.2011
E. External liabilities,Q:M:B:A:A:5A:3P,-,3.982,18.548,44.372,85.078,11.605,68.221,84.478,83.791,60.941,39.044,47.607,100.862,48.096,46.088,71.985,85.571,53.099,19.187,50.622,17.982,14.779,11.753,32.448,60.481,39.124,57.214,1.822,51.901,61.813,1.569,52.173,125.82,40.506,71.641,194.873,221.647,104.915,205.906,212.91,161.668,80.755,148.553,218.401,68.693,251.705,59.635,204.631,222.48,127.625,79.674,269.64,194.582,-14.89,-135.244,-26.695,56.66,-41.187,-62.315,180.329,18.238,-63.675,-81.872,103.064,91.411,54.761,81.824,218.142,237.531,226.58,96.202,107.285,48.098,132.135,49.27,131.943,199.234,432.514,218.307,146.869,470.47,49.561,180.59,152.223,-100.223,-48.656,7.221,93.405,115.521,441.906,94.684,178.564,402.433,670.1,-122.505,-45.862,213.057,115.56,154.761,69.087,399.89,329.196,378.574,-33.725,396.857,1002.152,271.4,265.229,472.754,1002.16,862.742,667.191,354.047,1412.791,599.423,691.123,669.265,2157.979,1097.729,1057.296,1115.514,1474.332,-997.246,-61.122,-1768.221,-748.214,-471.469,-191.077,-395.535,532.597,41.701,614.837,-296.298,655.857,-188.246
liabilities to banks,Q:M:B:A:A:5A:3P - Q:M:B:A:B:5A:3P,-,-2.62,14.441,40.074,71.273,-2.947,56.995,70.841,72.407,46.126,33.24,42.746,79.193,33.225,26.075,49.267,66.928,36.264,0.306,46.338,13.863,6.103,-1.812,26.487,46.17,22.757,50.546,8.708,49.437,53.436,1.229,42.401,99.963,26.069,52.071,171.767,198.386,87.344,188.544,186.964,158.319,71.591,124.843,197.888,50.01,200.329,26.966,178.429,181.377,74.546,53.217,207.214,167.609,-40.945,-128.954,-19.425,69.223,-52.025,-73.083,154.851,7.619,-88.284,-89.294,103.216,87.133,30.045,64.85,170.319,214.016,204.191,67.388,78.989,31.764,47.332,12.875,95.115,178.556,304.91,165.64,144.54,410.518,-20.15,127.562,108.775,-27.03,-180.856,-28.042,100.76,87.297,317.623,72.4,91.804,389.189,484.866,-82.816,-135.911,206.583,24.73,125.773,28.374,312.94,56.637,354.928,-122.702,286.813,781.176,302.037,68.318,286.589,673.132,851.098,483.963,410.077,1042.393,314.654,579.449,541.417,1613.119,697.87,765.191,959.936,1013.536,-1014.68,234.23,-1140.524,-436.111,-409.675,-251.883,-239.343,392.334,18.114,375.144,-319.135,400.429,-241.936
liabilities to non-banks,Q:M:B:A:B:5A:3P,-,6.602,4.107,4.298,13.805,14.552,11.226,13.637,11.384,14.815,5.804,4.861,21.669,14.871,20.013,22.718,18.643,16.835,18.881,4.284,4.119,8.676,13.565,5.961,14.311,16.367,6.668,-6.886,2.464,8.377,0.34,9.772,25.857,14.437,19.57,23.106,23.261,17.571,17.362,25.946,3.349,9.164,23.71,20.513,18.683,51.376,32.669,26.202,41.103,53.079,26.457,62.426,26.973,26.055,-6.29,-7.27,-12.563,10.838,10.768,25.478,10.619,24.609,7.422,-0.152,4.278,24.716,16.974,47.823,23.515,22.389,28.814,28.296,16.334,84.803,36.395,36.828,20.678,127.604,52.667,2.329,59.952,69.711,53.028,43.448,-73.193,132.2,35.263,-7.355,28.224,124.283,22.284,86.76,13.244,185.234,-39.689,90.049,6.474,90.83,28.988,40.713,86.95,272.559,23.646,88.977,110.044,220.976,-30.637,196.911,186.165,329.028,11.644,183.228,-56.03,370.398,284.769,111.674,127.848,544.86,399.859,292.105,155.578,460.796,17.434,-295.352,-627.697,-312.103,-61.794,60.806,-156.192,140.263,23.587,239.693,22.837,255.428,53.69
1. Loans and deposits,Q:M:H:A:A:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,113.17,36.028,114.428,171.195,409.211,197.687,120.551,323.729,5.585,184.106,142.791,-116.74,-23.236,0.845,98.615,102.246,397.333,42.198,166.257,322.665,611.943,-114.274,-57.718,61.917,73.912,155.972,63.819,321.455,256.431,318.691,-89.694,314.437,929.717,241.51,201.493,386.83,818.325,702.175,548.099,283.776,1193.697,545.642,544.884,534.187,1932.429,823.686,888.042,1020.008,1194.191,-1125.026,0.656,-1753.453,-782.395,-513.302,-265.352,-316.942,394.328,29.173,349.76,15.766,471.9,-229.676
liabilities to banks,Q:M:H:A:A:5A:3P - Q:M:H:A:B:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,26.388,-0.293,77.571,150.948,283.076,145.214,118.803,267.442,-78.822,134.366,99.302,-47.47,-122.123,-47.041,107.04,87.429,283.786,28.107,87.02,326.114,434.036,-96.209,-103.52,52.928,-18.278,138.082,33.866,247.748,-1.44,303.828,-174.636,216.935,717.606,268.508,24.038,236.757,519.385,722.603,391.26,314.917,884.733,268.244,473.592,416.588,1451.928,486.401,652.906,883.302,806.855,-1172.019,222.62,-1146.523,-471.945,-428.634,-329.591,-167.931,254.325,-4.464,136.094,-75.994,250.092,-249.255
liabilities to non-banks,Q:M:H:A:B:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,86.782,36.321,36.857,20.247,126.135,52.473,1.748,56.287,84.407,49.74,43.489,-69.27,98.887,47.886,-8.425,14.817,113.547,14.091,79.237,-3.449,177.907,-18.065,45.802,8.989,92.19,17.89,29.953,73.707,257.871,14.863,84.942,97.502,212.111,-26.998,177.455,150.073,298.94,-20.428,156.839,-31.141,308.964,277.398,71.292,117.599,480.501,337.285,235.136,136.706,387.336,46.993,-221.964,-606.93,-310.45,-84.668,64.239,-149.011,140.003,33.637,213.666,91.76,221.808,19.579
2. Own issues of securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and other liabilities,Q:M:E:A:A:5A:3P + Q:M:J:A:A:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,19.021,13.245,17.514,28.039,23.302,20.619,26.305,111.362,43.99,-3.52,9.428,-7.204,-26.22,6.373,-5.209,13.276,44.57,52.49,12.303,79.769,58.164,-8.229,11.867,150.61,41.654,-1.253,5.301,78.43,72.937,59.872,55.953,82.425,72.429,29.891,64.018,85.918,183.781,160.723,119.016,70.055,219.008,53.563,146.244,135.079,225.569,274.014,169.249,95.492,280.121,127.846,-61.802,-14.685,34.159,41.839,74.306,-78.639,138.271,12.543,265.074,-312.086,183.97,41.443
liabilities to banks,Q:M:E:A:A:5A:3P + Q:M:J:A:A:5A:3P - Q:M:E:A:B:5A:3P - Q:M:J:A:B:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,20.998,13.168,17.543,27.608,21.833,20.425,25.724,106.426,59.954,-6.808,9.471,-3.404,-64.403,18.996,-6.28,-0.13,33.834,44.297,4.78,63.076,50.834,13.407,-32.392,153.13,42.964,-12.274,-5.464,65.181,58.146,51.084,51.924,69.875,63.558,33.563,44.536,49.833,153.694,128.652,92.628,94.942,157.546,46.199,105.875,124.827,161.227,211.446,112.282,76.616,206.677,157.378,11.576,6.11,35.814,18.956,77.734,-71.47,138.035,22.598,239.037,-243.15,150.319,7.332
liabilities to non-banks,Q:M:E:A:B:5A:3P + Q:M:J:A:B:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-1.977,0.077,-0.029,0.431,1.469,0.194,0.581,4.936,-15.964,3.288,-0.043,-3.8,38.183,-12.623,1.071,13.406,10.736,8.193,7.523,16.693,7.33,-21.636,44.259,-2.52,-1.31,11.021,10.765,13.249,14.791,8.788,4.029,12.55,8.871,-3.672,19.482,36.085,30.087,32.071,26.388,-24.887,61.462,7.364,40.369,10.252,64.342,62.568,56.967,18.876,73.444,-29.532,-73.378,-20.795,-1.655,22.883,-3.428,-7.169,0.236,-10.055,26.037,-68.936,33.651,34.111
F. Local liabilities in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foreign currency,Q:M:B:A:A:5A:1E,-,3.648,6.435,10.439,10.578,1.394,10.014,13.791,17.056,17.057,7.011,11.881,23.261,19.387,3.339,25.019,6.179,31.187,-21.674,41.53,-4.937,18.923,-35.186,34.743,-0.903,25.772,-14.941,13.742,5.593,21.557,-16.091,52.828,17.023,38.881,-9.348,93.871,-6.19,53.016,-23.672,53.716,35.09,31.513,-61.809,85.882,-18.114,68.837,-49.844,83.578,-8.491,73.201,-75.8,103.394,7.545,20.393,-77.775,28.784,-4.913,12.321,-37.688,83.547,-29.254,52.617,-34.62,42.754,30.169,102.429,-56.9,51.989,-2.122,93.016,-63.076,32.949,-8.154,66.946,-52.928,37.765,-25.092,131.897,-18.963,-59.305,60.489,44.612,38.094,7.975,-54.543,56.007,-31.796,75.612,-2.598,102.576,47.797,36.285,-64.316,151.75,-12.279,-2.904,31.087,64.078,-70.712,41.913,-23.27,177.831,146.38,73.538,114.797,231.356,-62.43,32.953,40.992,305.857,7.329,86.15,-53.923,289.307,-0.586,74.639,135.643,307.061,172.127,83.623,-27.493,297.649,-165.719,118.723,65.643,-384.195,-139.488,-59.689,-104.276,-30.415,3.358,224.293,-59.696,165.99,44.802
liabilities to banks,Q:M:B:A:A:5A:1E - Q:M:B:A:B:5A:1E,-,1.976,3.275,6.714,9.486,2.32,5.164,12.783,19.25,14.082,4.39,12.448,20.872,28.351,1.006,22.244,4.606,29.577,-23.676,38.61,-8.612,19.737,-37.123,32.422,-7.949,21.818,-14.46,12.626,-5.897,20.959,-20.104,47.046,11.256,31.618,-13.17,77.764,-3.808,38.902,-24.585,40.653,33.274,27.104,-62.245,74.431,-23.376,49.408,-53.482,78.8,-33.612,41.401,-73.892,63.365,16.065,2.049,-74.322,13.014,-3.217,6.028,-36.729,49.239,-13.739,21.241,-19.236,12.681,43.668,56.97,-51.832,34.712,23.84,44.105,-40.958,23.364,-13.275,13.107,-37.005,18.233,-29.618,69.477,-7.448,-20.659,51.715,31.497,31.011,-13.772,-31.898,41.298,-20.515,33.361,-11.95,61.436,9.641,43.358,-20.545,105.085,-13.466,-8.955,2.908,60.771,-59.964,-12.728,21.354,154.819,101.178,38.458,86.524,165.397,-63.138,53.507,-17.126,191.088,-34.863,39.501,-63.419,205.501,-28.341,25.379,34.057,243.052,17.898,11.211,-67.731,149.993,-125.032,236.393,116.433,-296.996,-155.611,-60.035,-86.989,-57.285,-2.859,143.614,-92.995,86.446,26.41
liabilities to non-banks,Q:M:B:A:B:5A:1E,-,1.672,3.16,3.725,1.092,-0.926,4.85,1.008,-2.194,2.975,2.621,-0.567,2.389,-8.964,2.333,2.775,1.573,1.61,2.002,2.92,3.675,-0.814,1.937,2.321,7.046,3.954,-0.481,1.116,11.49,0.598,4.013,5.782,5.767,7.263,3.822,16.107,-2.382,14.114,0.913,13.063,1.816,4.409,0.436,11.451,5.262,19.429,3.638,4.778,25.121,31.8,-1.908,40.029,-8.52,18.344,-3.453,15.77,-1.696,6.293,-0.959,34.308,-15.515,31.376,-15.384,30.073,-13.499,45.459,-5.068,17.277,-25.962,48.911,-22.118,9.585,5.121,53.839,-15.923,19.532,4.526,62.42,-11.515,-38.646,8.774,13.115,7.083,21.747,-22.645,14.709,-11.281,42.251,9.352,41.14,38.156,-7.073,-43.771,46.665,1.187,6.051,28.179,3.307,-10.748,54.641,-44.624,23.012,45.202,35.08,28.273,65.959,0.708,-20.554,58.118,114.769,42.192,46.649,9.496,83.806,27.755,49.26,101.586,64.009,154.229,72.412,40.238,147.656,-40.687,-117.67,-50.79,-87.199,16.123,0.346,-17.287,26.87,6.217,80.679,33.299,79.544,18.392
